outcome,team_trophies,opp_trophies,trophy_diff,team_avg_elixir,opp_avg_elixir,elixir_diff,team_avg_level,opp_avg_level,level_diff,team_card_ids,opp_card_ids,exp_level,battle_count,hour_of_day,battle_time,player_tag,team_crowns,opp_crowns,team_deck_meta_score,opp_deck_meta_score,deck_meta_score_diff,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,player_win_rate,trophy_diff_category
0,13618.0,13619.0,-1.0,3.125,3.875,-0.75,13.25,12.625,0.625,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000045, 26000000, 26000064, 28000007, 27000003, 26000036, 28000012, 28000011]",72,16908,21,20260408T213432.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,1.375,-0.625,0.48,equal
1,13590.0,13575.0,15.0,3.125,4.5,-1.375,13.25,12.125,1.125,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000011, 26000035, 26000063, 26000048, 26000009, 28000001, 28000000, 27000006]",72,16908,21,20260408T212954.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.875,-1.125,0.48,higher
0,13620.0,13620.0,0.0,3.125,3.5,-0.375,13.25,12.0,1.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000060, 26000027, 26000040, 26000016, 26000041, 26000025, 28000002, 28000024]",72,16908,21,20260408T212624.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,2.0,-1.25,0.48,equal
0,13650.0,13650.0,0.0,3.125,2.875,0.25,13.25,11.25,2.0,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000011, 26000062, 26000058, 27000004, 26000032, 28000011, 26000010, 28000012]",72,16908,21,20260408T212258.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,2.75,-2.0,0.48,equal
0,13679.0,13680.0,-1.0,3.125,3.5,-0.375,13.25,11.375,1.875,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000013, 26000062, 26000004, 28000018, 26000046, 26000050, 26000042, 28000008]",72,16908,21,20260408T211854.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,2.625,-1.875,0.48,equal
1,13649.0,13650.0,-1.0,3.125,3.375,-0.25,13.25,12.0,1.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[27000006, 26000062, 27000013, 28000011, 26000019, 28000012, 26000034, 26000000]",72,16908,21,20260408T211343.000Z,#GLC0PV99,3,0,0.5,0.5,0.0,0.75,2.0,-1.25,0.48,equal
0,13679.0,13679.0,0.0,3.125,2.625,0.5,13.25,13.25,0.0,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000064, 26000065, 26000010, 28000011, 27000000, 26000021, 28000014, 26000084]",72,16908,21,20260408T211142.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,0.75,0.0,0.48,equal
1,13650.0,13649.0,1.0,3.125,3.75,-0.625,13.25,11.5,1.75,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[27000012, 26000039, 26000024, 26000042, 26000061, 26000027, 28000000, 28000011]",72,16908,21,20260408T210731.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,2.5,-1.75,0.48,equal
1,13621.0,13620.0,1.0,3.125,3.25,-0.125,13.25,13.0,0.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000056, 26000002, 26000050, 28000003, 28000011, 26000040, 26000097, 26000053]",72,16908,21,20260408T210331.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.0,-0.25,0.48,equal
1,13591.0,13595.0,-4.0,3.125,3.875,-0.75,13.25,12.5,0.75,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000017, 26000018, 26000022, 26000051, 26000059, 26000040, 28000006, 27000001]",72,16908,20,20260408T205830.000Z,#GLC0PV99,1,0,0.5,0.5,0.0,0.75,1.5,-0.75,0.48,equal
0,13620.0,13624.0,-4.0,3.125,4.0,-0.875,13.25,9.25,4.0,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000007, 26000069, 26000037, 26000048, 28000008, 26000009, 28000024, 26000032]",72,16908,20,20260408T204513.000Z,#GLC0PV99,0,3,0.5,0.5,0.0,0.75,4.75,-4.0,0.48,equal
0,,,,3.25,3.875,-0.625,11.875,12.25,-0.375,"[28000004, 26000000, 28000011, 28000003, 26000041, 27000003, 26000084, 26000026]","[26000055, 26000000, 26000045, 28000008, 26000005, 26000021, 26000018, 26000025]",70,12346,12,20260413T121903.000Z,#VV8VPUUR,0,3,0.5,0.5,0.0,2.125,1.75,0.375,0.631578947368421,unknown
0,,,,3.25,3.25,0.0,11.875,12.875,-1.0,"[28000004, 26000000, 28000011, 28000003, 26000041, 27000003, 26000084, 26000026]","[26000056, 28000015, 26000058, 26000047, 28000026, 27000009, 26000064, 26000041]",70,12346,12,20260413T121627.000Z,#VV8VPUUR,1,2,0.5,0.5,0.0,2.125,1.125,1.0,0.631578947368421,unknown
1,,,,3.25,4.375,-1.125,11.875,13.625,-1.75,"[28000004, 26000000, 28000011, 28000003, 26000041, 27000003, 26000084, 26000026]","[26000011, 26000000, 26000007, 28000001, 26000017, 26000043, 26000041, 28000003]",70,12346,12,20260413T121219.000Z,#VV8VPUUR,1,0,0.5,0.5,0.0,2.125,0.375,1.75,0.631578947368421,unknown
