outcome,trophy_diff,elixir_diff,level_diff,deck_meta_score_diff,team_avg_elixir,opp_avg_elixir,team_avg_level,opp_avg_level,team_deck_meta_score,opp_deck_meta_score,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,exp_level,battle_count,player_win_rate,hour_of_day,trophy_diff_category
1,-23.0,0.25,3.75,0.024229653072278756,4.125,3.875,14.125,10.375,0.5223314668897441,0.4981018138174653,-0.125,3.625,-3.75,67,7432,0.6521739130434783,9,lower
1,-11.0,-0.25,1.5,0.0301390079405226,4.125,4.375,14.125,12.625,0.5223314668897441,0.4921924589492215,-0.125,1.375,-1.5,67,7432,0.6521739130434783,5,lower
0,-12.0,0.0,1.5,0.038131415781562816,4.125,4.125,14.125,12.625,0.5223314668897441,0.48420005110818126,-0.125,1.375,-1.5,67,7432,0.6521739130434783,5,lower
1,10.0,1.125,0.25,0.013304754583452483,4.125,3.0,14.125,13.875,0.5223314668897441,0.5090267123062916,-0.125,0.125,-0.25,67,7432,0.6521739130434783,5,equal
1,6.0,0.625,1.25,0.011108178119374035,4.125,3.5,14.125,12.875,0.5223314668897441,0.51122328877037,-0.125,1.125,-1.25,67,7432,0.6521739130434783,4,equal
0,-7.0,1.625,0.875,0.01886938959237172,4.125,2.5,14.125,13.25,0.5223314668897441,0.5034620772973724,-0.125,0.75,-0.875,67,7432,0.6521739130434783,8,equal
0,10.0,0.875,0.75,0.04032528886335213,4.125,3.25,14.125,13.375,0.5223314668897441,0.48200617802639195,-0.125,0.625,-0.75,67,7432,0.6521739130434783,5,equal
1,5.0,0.875,1.5,0.043706953395315495,4.125,3.25,14.125,12.625,0.5223314668897441,0.4786245134944286,-0.125,1.375,-1.5,67,7432,0.6521739130434783,14,equal
0,5.0,0.875,1.0,0.02224436050695089,4.125,3.25,14.125,13.125,0.5223314668897441,0.5000871063827932,-0.125,0.875,-1.0,67,7432,0.6521739130434783,14,equal
1,-4.0,0.375,2.5,0.007918040754280709,4.125,3.75,14.125,11.625,0.5223314668897441,0.5144134261354634,-0.125,2.375,-2.5,67,7432,0.6521739130434783,14,equal
1,-9.0,0.75,2.25,0.013353151902457339,4.125,3.375,14.125,11.875,0.5223314668897441,0.5089783149872867,-0.125,2.125,-2.25,67,7432,0.6521739130434783,14,equal
1,-15.0,0.625,0.625,0.04885109817356875,4.125,3.5,14.125,13.5,0.5223314668897441,0.4734803687161753,-0.125,0.5,-0.625,67,7432,0.6521739130434783,14,lower
1,-17.0,0.75,-0.5,0.02706972276526015,4.125,3.375,14.125,14.625,0.5223314668897441,0.4952617441244839,-0.125,-0.625,0.5,67,7432,0.6521739130434783,14,lower
1,36.0,0.0,2.25,0.01693948504671472,4.125,4.125,14.125,11.875,0.5223314668897441,0.5053919818430294,-0.125,2.125,-2.25,67,7432,0.6521739130434783,11,higher
1,-25.0,1.125,0.5,0.016432824206755958,4.125,3.0,14.125,13.625,0.5223314668897441,0.5058986426829881,-0.125,0.375,-0.5,67,7432,0.6521739130434783,7,lower
1,24.0,0.75,1.5,0.04224955440615252,4.125,3.375,14.125,12.625,0.5223314668897441,0.48008191248359156,-0.125,1.375,-1.5,67,7432,0.6521739130434783,7,higher
1,-3.0,0.75,-0.125,0.04067836706919409,4.125,3.375,14.125,14.25,0.5223314668897441,0.48165309982055,-0.125,-0.25,0.125,67,7432,0.6521739130434783,7,equal
1,-21.0,-0.25,2.0,-0.006167018985581252,4.125,4.375,14.125,12.125,0.5223314668897441,0.5284984858753253,-0.125,1.875,-2.0,67,7432,0.6521739130434783,7,lower
1,6.0,-0.625,2.375,0.01729330187458289,3.75,4.375,13.125,10.75,0.5032836452699113,0.48599034339532843,0.875,3.25,-2.375,68,7723,0.6666666666666666,23,equal
0,-27.0,-0.25,0.875,-0.009223841798535748,3.75,4.0,13.125,12.25,0.5032836452699113,0.5125074870684471,0.875,1.75,-0.875,68,7723,0.6666666666666666,15,lower
1,0.0,-0.25,0.0,0.013464560203303666,3.75,4.0,13.125,13.125,0.5032836452699113,0.48981908506660765,0.875,0.875,0.0,68,7723,0.6666666666666666,11,equal
1,-3.0,-0.375,0.0,0.0037097590617778398,3.75,4.125,13.125,13.125,0.5032836452699113,0.4995738862081335,0.875,0.875,0.0,68,7723,0.6666666666666666,13,equal
0,-24.0,0.0,2.875,0.00644174836954392,3.75,3.75,13.125,10.25,0.5032836452699113,0.4968418969003674,0.875,3.75,-2.875,68,7723,0.6666666666666666,13,lower
0,-35.0,0.25,-0.25,-0.02263168427306883,3.75,3.5,13.125,13.375,0.5032836452699113,0.5259153295429801,0.875,0.625,0.25,68,7723,0.6666666666666666,0,lower
1,-22.0,0.125,1.25,-0.015301838668203671,3.75,3.625,13.125,11.875,0.5032836452699113,0.518585483938115,0.875,2.125,-1.25,68,7723,0.6666666666666666,23,lower
1,38.0,1.0,-0.5,0.011736479314686799,3.75,2.75,13.125,13.625,0.5032836452699113,0.4915471659552245,0.875,0.375,0.5,68,7723,0.6666666666666666,23,higher
1,41.0,-0.375,0.375,0.012892477966513827,3.75,4.125,13.125,12.75,0.5032836452699113,0.4903911673033975,0.875,1.25,-0.375,68,7723,0.6666666666666666,23,higher
1,-37.0,0.125,0.75,0.02922648567849767,3.75,3.625,13.125,12.375,0.5032836452699113,0.47405715959141365,0.875,1.625,-0.75,68,7723,0.6666666666666666,22,lower
0,16.0,-0.375,-0.375,-0.01904782161983276,3.75,4.125,13.125,13.5,0.5032836452699113,0.5223314668897441,0.875,0.5,0.375,68,7723,0.6666666666666666,22,higher
1,-8.0,0.25,-0.625,0.01028248202717641,3.75,3.5,13.125,13.75,0.5032836452699113,0.4930011632427349,0.875,0.25,0.625,68,7723,0.6666666666666666,22,equal
1,-30.0,1.0,-0.125,0.013411346241158917,3.75,2.75,13.125,13.25,0.5032836452699113,0.4898722990287524,0.875,0.75,0.125,68,7723,0.6666666666666666,18,lower
1,37.0,-0.625,-0.25,0.0390029683190079,3.75,4.375,13.125,13.375,0.5032836452699113,0.4642806769509034,0.875,0.625,0.25,68,7723,0.6666666666666666,10,higher
0,2.0,-0.5,0.625,-0.03237864089445164,3.75,4.25,13.125,12.5,0.5032836452699113,0.535662286164363,0.875,1.5,-0.625,68,7723,0.6666666666666666,10,equal
0,-8.0,-0.875,1.25,-0.013586277779049749,3.75,4.625,13.125,11.875,0.5032836452699113,0.5168699230489611,0.875,2.125,-1.25,68,7723,0.6666666666666666,20,equal
1,-29.0,0.875,1.75,0.0007816646139425787,3.75,2.875,13.125,11.375,0.5032836452699113,0.5025019806559687,0.875,2.625,-1.75,68,7723,0.6666666666666666,20,lower
1,0.0,1.0,-1.125,0.011736479314686799,3.75,2.75,13.125,14.25,0.5032836452699113,0.4915471659552245,0.875,-0.25,1.125,68,7723,0.6666666666666666,20,equal
0,38.0,-0.375,-0.5,0.03088851771478346,3.75,4.125,13.125,13.625,0.5032836452699113,0.47239512755512786,0.875,0.375,0.5,68,7723,0.6666666666666666,17,higher
